record_type,route_id,route_condition,model_seed,sample_index,debug_step,t_s,theta_true_deg,theta_sched_fusion_lpv_mpc_deg,theta_sched_mtcn_lpv_mpc_deg,theta_mtcn_deg,theta_imu_deg,theta_fused_deg,variance_imu_rad2,imu_valid,K_imu_eff,fallback_exact,imu_uncertainty_halfwidth_deg,local_fusion_effect_deg
trace,P2,Sharp-turn transition,7,129,129.0,1.29,0.0,0.0,0.0,0.0,-0.43765695828707835,-1.2223577496718605e-06,0.0012184696791468,1,2.79295856383952e-06,0,3.9199999999999444,1.2223577496718605e-06
trace,P2,Sharp-turn transition,7,130,130.0,1.3,0.0,0.0,0.0,0.0,-0.44328241406036073,-1.05767760990478e-05,0.0001426255266452,1,2.38601301643505e-05,0,1.3411499393530382,1.05767760990478e-05
trace,P2,Sharp-turn transition,7,131,131.0,1.31,0.0,0.0,0.0,0.0,-0.36328241406035866,-1.0146327294421887e-06,0.0012184696791468,1,2.79295856383952e-06,0,3.9199999999999444,1.0146327294421887e-06
trace,P2,Sharp-turn transition,7,132,132.0,1.32,0.0,0.0,0.0,0.0,-0.28328241406036225,-7.911960443350241e-07,0.0012184696791468,1,2.79295856383952e-06,0,3.9199999999999444,7.911960443350241e-07
trace,P2,Sharp-turn transition,7,133,133.0,1.33,0.0,0.0,0.0,0.0,-0.2658388968777895,-7.0937372398599574e-06,0.0001275299741048,1,2.66843465090098e-05,0,1.2681915043703313,7.0937372398599574e-06
trace,P2,Sharp-turn transition,7,134,134.0,1.34,0.0,0.0,0.0,0.0,-0.18943701292183704,-9.675315537172274e-06,6.66281799449096e-05,1,5.10740503555361e-05,0,0.9166587297118693,9.675315537172274e-06
trace,P2,Sharp-turn transition,7,135,135.0,1.35,0.0,0.0,0.0,0.0,-0.10943701292183497,-3.056530424410639e-07,0.0012184696791468,1,2.79295856383952e-06,0,3.9199999999999444,3.056530424410639e-07
trace,P2,Sharp-turn transition,7,136,136.0,1.36,0.0,0.0,0.0,0.0,-0.029437012921832886,-8.221635733390277e-08,0.0012184696791468,1,2.79295856383952e-06,0,3.9199999999999444,8.221635733390277e-08
trace,P2,Sharp-turn transition,7,137,137.0,1.37,0.0,0.0,0.0,0.0,-0.10943701292183497,-3.0565304244106447e-07,0.0012184696791468,1,2.79295856383952e-06,0,3.9199999999999444,3.0565304244106447e-07
trace,P2,Sharp-turn transition,7,138,138.0,1.38,0.0,0.0,0.0,0.0,-0.14442829386158076,-3.956463693124119e-06,0.0001242263231165,1,2.73939654574597e-05,0,1.2516575382360542,3.956463693124119e-06
trace,P2,Sharp-turn transition,7,139,139.0,1.39,0.0,0.0,0.0,0.0,-0.06442829386158443,-1.799455550942851e-07,0.0012184696791468,1,2.79295856383952e-06,0,3.9199999999999444,1.799455550942851e-07
