sample_index,t_s,theta_true_deg,theta_mtcn_deg,theta_rkf_deg,abs_error_mtcn_deg,abs_error_rkf_deg,delta_abs_error_deg,rkf_locally_better,evaluation_sample,rkf_better_beyond_tolerance,mtcn_better_beyond_tolerance,near_tie
2547,25.47,3.8876363194444443,5.159606671045543,3.239661077148251,1.2719703516010985,0.6479752422961935,-0.623995109304905,1,1,1,0,0
2548,25.48,3.8677992129629604,5.153400299655336,3.225758973377822,1.2856010866923753,0.6420402395851386,-0.6435608471072367,1,1,1,0,0
2549,25.49,3.8479621064814764,5.147193928265128,3.2118568696073933,1.2992318217836512,0.6361052368740832,-0.663126584909568,1,1,1,0,0
2550,25.5,3.8281249999999987,5.140987556874914,3.1979547658369643,1.3128625568749155,0.6301702341630344,-0.6826923227118811,1,1,1,0,0
2551,25.51,3.807842060185182,5.1339443665968885,3.1834052823655257,1.3261023064117063,0.6244367778196565,-0.7016655285920499,1,1,1,0,0
2552,25.52,3.787559120370371,5.126901176318858,3.1688557988940924,1.3393420559484874,0.6187033214762785,-0.7206387344722089,1,1,1,0,0
2553,25.53,3.767276180555554,5.119857986040832,3.154306315422654,1.3525818054852778,0.6129698651329001,-0.7396119403523778,1,1,1,0,0
2554,25.54,3.7469932407407427,5.112814795762801,3.139756831951215,1.365821555022058,0.6072364087895279,-0.7585851462325301,1,1,1,0,0
2555,25.55,3.726710300925926,5.105771605484775,3.125207348479776,1.379061304558849,0.6015029524461499,-0.777558352112699,1,1,1,0,0
2556,25.56,3.7059963888888827,5.098040111716152,3.11013490128597,1.3920437228272693,0.5958614876029129,-0.7961822352243564,1,1,1,0,0
2557,25.57,3.6852824768518504,5.090308617947529,3.0950624540921696,1.4050261410956786,0.5902200227596808,-0.8148061183359978,1,1,1,0,0
2558,25.58,3.6645685648148123,5.082577124178906,3.079990006898363,1.4180085593640936,0.5845785579164491,-0.8334300014476446,1,1,1,0,0
2559,25.59,3.64385465277778,5.074845630410288,3.0649175597045626,1.4309909776325083,0.5789370930732174,-0.8520538845592909,1,1,1,0,0
2560,25.6,3.6231407407407366,5.067114136641665,3.049845112510756,1.4439733959009287,0.5732956282299804,-0.8706777676709483,1,1,1,0,0
2561,25.61,3.6020107175925937,5.058695932595889,3.0342025393232825,1.456685215003295,0.5678081782693112,-0.8888770367339838,1,1,1,0,0
