sample_index,debug_step,t_s,theta_true_deg,theta_mtcn_deg,theta_rkf_deg,rkf_innovation_norm_mps2,rkf_external_accel_variance_max_m2ps4,rkf_covariance_updated,rkf_anomaly_detected,rkf_observer_valid,abs_error_mtcn_deg,abs_error_rkf_deg,delta_abs_error_deg,evaluation_sample,rkf_locally_better,mtcn_locally_better,near_tie
147,147.0,1.47,0.0,0.0,0.0,0.055309259128588,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
148,148.0,1.48,0.0,0.0,0.0,0.0647111429652447,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
149,149.0,1.49,0.0,0.0,0.0,0.0580884340801612,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
150,150.0,1.5,0.0,0.0,0.0,0.0393423736614481,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
151,151.0,1.51,0.0,0.0,0.0,0.0322823520455188,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
152,152.0,1.52,0.0,0.0,0.0,0.109641923916169,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
153,153.0,1.53,0.0,0.0,0.0,0.067561725666731,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
154,154.0,1.54,0.0,0.0,0.0,0.0451232919813549,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
155,155.0,1.55,0.0,0.0,0.0,0.0474291214800303,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
156,156.0,1.56,0.0,0.0,0.0,0.0499096674497188,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
157,157.0,1.57,0.0,0.0,0.0,0.0970490295311043,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
158,158.0,1.58,0.0,0.0,0.0,0.0748924913496463,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
159,159.0,1.59,0.0,0.0,0.0,0.0490522085734397,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
160,160.0,1.6,0.0,0.0,0.0,0.0722653883274992,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
