t_s,reference_grade_deg,mtcn_delta_grade_deg,rkf_ra_x2_qg_x05_grade_deg,fused_grade_deg,K_eff,Kmax,target_correction_deg,applied_correction_deg,NIS,fallback,rate_limit_active,fallback_reason
1.38,0.0,0.0,0.2001157130403122,0.0,0.0,0.5,0.0,0.0,0.003784668011348126,1,0,TCN_NOT_READY
1.39,0.0,0.0,0.20078695420568046,0.0,0.0,0.5,0.0,0.0,0.003810100153155425,1,0,TCN_NOT_READY
1.4,0.0,0.0,0.2007577082132801,0.0,0.0,0.5,0.0,0.0,0.003808990299726128,1,0,TCN_NOT_READY
1.41,0.0,0.0,0.20005317487416088,0.0,0.0,0.5,0.0,0.0,0.003782302887591261,1,0,TCN_NOT_READY
1.42,0.0,0.0,0.20165453622352023,0.0,0.0,0.5,0.0,0.0,0.003843097475457005,1,0,TCN_NOT_READY
1.43,0.0,0.0,0.20054264747415532,0.0,0.0,0.5,0.0,0.0,0.0038008339453469804,1,0,TCN_NOT_READY
1.44,0.0,0.0,0.2008880940499123,0.0,0.0,0.5,0.0,0.0,0.003813939545928481,1,0,TCN_NOT_READY
1.45,0.0,0.0,0.2008922445903801,0.0,0.0,0.5,0.0,0.0,0.0038140971468458716,1,0,TCN_NOT_READY
1.46,0.0,0.0,0.20117130174896694,0.0,0.0,0.5,0.0,0.0,0.003824700745343437,1,0,TCN_NOT_READY
1.47,0.0,0.0,0.20197192000430947,0.0,0.0,0.5,0.0,0.0,0.0038552042864472688,1,0,TCN_NOT_READY
1.48,0.0,0.0,0.20104589974606124,0.0,0.0,0.5,0.0,0.0,0.003819933905934263,1,0,TCN_NOT_READY
1.49,0.0,0.0,0.2000716638810936,0.0,0.0,0.5,0.0,0.0,0.0037830020442618123,1,0,TCN_NOT_READY
1.5,0.0,0.0,0.19924884436367074,0.0,0.0,0.5,0.0,0.0,0.0037519498990802804,1,0,TCN_NOT_READY
1.51,0.0,0.0,0.20041432329614473,0.0,0.0,0.5,0.0,0.0,0.003795971310395285,1,0,TCN_NOT_READY
1.52,0.0,0.0,0.20008028130812794,0.0,0.0,0.5,0.0,0.0,0.003783327931951434,1,0,TCN_NOT_READY
1.53,0.0,0.0,0.19966011601224348,0.0,0.0,0.5,0.0,0.0,0.0037674547634571876,1,0,TCN_NOT_READY
1.54,0.0,0.0,0.19950502974974563,0.0,0.0,0.5,0.0,0.0,0.0037616042854575,1,0,TCN_NOT_READY
1.55,0.0,0.0,0.19983836847861025,0.0,0.0,0.5,0.0,0.0,0.003774184779382224,1,0,TCN_NOT_READY
1.56,0.0,0.0,0.20218871527615154,0.0,0.0,0.5,0.0,0.0,0.0038634850279179156,1,0,TCN_NOT_READY
1.57,0.0,0.0,0.20162460268023588,0.0,0.0,0.5,0.0,0.0,0.003841956623495897,1,0,TCN_NOT_READY
1.58,0.0,0.0,0.2018229051013891,0.0,0.0,0.5,0.0,0.0,0.0038495176448022027,1,0,TCN_NOT_READY
1.59,0.0,0.0,0.20174933397187686,0.0,0.0,0.5,0.0,0.0,0.0038467116031317525,1,0,TCN_NOT_READY
1.6,0.0,0.0,0.20103448464365736,0.0,0.0,0.5,0.0,0.0,0.003819500137338595,1,0,TCN_NOT_READY
1.61,0.0,0.0,0.20068461832758416,0.0,0.0,0.5,0.0,0.0,0.003806217325380272,1,0,TCN_NOT_READY
1.62,0.0,0.0,0.2007689306896682,0.0,0.0,0.5,0.0,0.0,0.003809416161316736,1,0,TCN_NOT_READY
1.63,0.0,0.0,0.20087083789691104,0.0,0.0,0.5,0.0,0.0,0.0038132843443550142,1,0,TCN_NOT_READY
1.64,0.0,0.0,0.2004051555738816,0.0,0.0,0.5,0.0,0.0,0.0037956240336720674,1,0,TCN_NOT_READY
1.65,0.0,0.0,0.1997090335548518,0.0,0.0,0.5,0.0,0.0,0.0037693010731665623,1,0,TCN_NOT_READY
1.66,0.0,0.0,0.20052145154953666,0.0,0.0,0.5,0.0,0.0,0.003800030545836857,1,0,TCN_NOT_READY
1.67,0.0,0.0,0.2004794318818572,0.0,0.0,0.5,0.0,0.0,0.0037984381048360503,1,0,TCN_NOT_READY
1.68,0.0,0.0,0.1994479442392861,0.0,0.0,0.5,0.0,0.0,0.0037594519349162755,1,0,TCN_NOT_READY
1.69,0.0,0.0,0.2010618427289902,0.0,0.0,0.5,0.0,0.0,0.0038205397731105235,1,0,TCN_NOT_READY
1.7,0.0,0.0,0.2011082641444781,0.0,0.0,0.5,0.0,0.0,0.00382230415899048,1,0,TCN_NOT_READY
1.71,0.0,0.0,0.20134166533294412,0.0,0.0,0.5,0.0,0.0,0.0038311814473424746,1,0,TCN_NOT_READY
1.72,0.0,0.0,0.2006608065697038,0.0,0.0,0.5,0.0,0.0,0.003805314143569513,1,0,TCN_NOT_READY
1.73,0.0,0.0,0.1991320491175777,0.0,0.0,0.5,0.0,0.0,0.003747552568910228,1,0,TCN_NOT_READY
1.74,0.0,0.0,0.1992314565988319,0.0,0.0,0.5,0.0,0.0,0.0037512950879952664,1,0,TCN_NOT_READY
1.75,0.0,0.0,0.19954316130017025,0.0,0.0,0.5,0.0,0.0,0.0037630423395373027,1,0,TCN_NOT_READY
1.76,0.0,0.0,0.20040873897483752,0.0,0.0,0.5,0.0,0.0,0.0037957597723395887,1,0,TCN_NOT_READY
1.77,0.0,0.0,0.19981778584461213,0.0,0.0,0.5,0.0,0.0,0.003773407364474076,1,0,TCN_NOT_READY
1.78,0.0,0.0,0.20192409752494941,0.0,0.0,0.5,0.0,0.0,0.00385337884852909,1,0,TCN_NOT_READY
1.79,0.0,0.0,0.20297258191741518,0.0,0.0,0.5,0.0,0.0,0.003893499834133643,1,0,TCN_NOT_READY
1.8,0.0,0.0,0.20438419622556636,0.0,0.0,0.5,0.0,0.0,0.0039478444354366805,1,0,TCN_NOT_READY
1.81,0.0,0.0,0.2042478416367356,0.0,0.0,0.5,0.0,0.0,0.003942578596399494,1,0,TCN_NOT_READY
1.82,0.0,0.0,0.20443630307127245,0.0,0.0,0.5,0.0,0.0,0.003949857662947023,1,0,TCN_NOT_READY
1.83,0.0,0.0,0.20407113542445066,0.0,0.0,0.5,0.0,0.0,0.003935759657631284,1,0,TCN_NOT_READY
1.84,0.0,0.0,0.2017528354338119,0.0,0.0,0.5,0.0,0.0,0.003846845127549107,1,0,TCN_NOT_READY
1.85,0.0,0.0,0.20341807172799478,0.0,0.0,0.5,0.0,0.0,0.003910609711411532,1,0,TCN_NOT_READY
1.86,0.0,0.0,0.20411909102983822,0.0,0.0,0.5,0.0,0.0,0.003937609639141792,1,0,TCN_NOT_READY
1.87,0.0,0.0,0.2050272664795872,0.0,0.0,0.5,0.0,0.0,0.00397272635187418,1,0,TCN_NOT_READY
