sample_index,t_s,theta_true_deg,theta_sched_deg,theta_tcn_deg,theta_imu_deg,theta_fused_deg,K_imu_eff,imu_valid,fallback_exact,delta_fused_vs_mtcn_deg
2794,27.94,5.364351549586776,5.422989855823456,5.54030272168798,5.245675857289113,5.4519146623683215,0.3,1.0,0.0,-0.08838805931965865
2795,27.95,5.365632877066118,5.423683048075438,5.541781515981137,5.240545589893491,5.451410738154845,0.3,1.0,0.0,-0.09037077782629233
2796,27.96,5.366886466942148,5.42406245400867,5.543260776590876,5.217576651110547,5.445555538946779,0.3,1.0,0.0,-0.09770523764409678
2797,27.97,5.368140056818179,5.424441859941902,5.5447877902888445,5.226472729330974,5.449293272001483,0.3,1.0,0.0,-0.09549451828736188
2798,27.98,5.369393646694216,5.424821265875134,5.54630203741853,5.226925676952465,5.450489129278712,0.3,1.0,0.0,-0.09581290813981802
2799,27.99,5.370647236570246,5.4252006718083665,5.547809561956673,5.218125340501369,5.44890429552008,0.3,1.0,0.0,-0.09890526643659303
2800,28.0,5.371900826446282,5.425580077741598,5.549308584032382,5.187467687494002,5.440756315070872,0.3,1.0,0.0,-0.10855226896151038
2801,28.01,5.37312652376033,5.426881275790336,5.550804596954315,5.210134488796968,5.448603564507109,0.3,1.0,0.0,-0.1022010324472058
2802,28.02,5.374352221074379,5.428182473839068,5.55235301406189,5.282010898291609,5.471250379330808,0.3,1.0,0.0,-0.08110263473108237
2803,28.03,5.375577918388428,5.429483671887806,5.553882700050777,5.3074775232261935,5.479961147003405,0.3,1.0,0.0,-0.0739215530473718
2804,28.04,5.376803615702476,5.430784869936538,5.555400924093256,5.31189228192772,5.482348331443595,0.3,1.0,0.0,-0.07305259264966057
2805,28.05,5.3780293130165315,5.432086067985276,5.556904282800848,5.314336639913593,5.484133989934672,0.3,1.0,0.0,-0.07277029286617598
2806,28.06,5.379226962809915,5.433885165030926,5.558399163263293,5.33317144390575,5.490830847456029,0.3,1.0,0.0,-0.06756831580726441
2807,28.07,5.380424612603306,5.43568426207657,5.559937533589592,5.380495424808671,5.506104900955314,0.3,1.0,0.0,-0.05383263263427818
2808,28.08,5.381622262396692,5.437483359122221,5.561444745364393,5.38546920482804,5.508652083203488,0.3,1.0,0.0,-0.052792662160904946
2809,28.09,5.382819912190083,5.439282456167872,5.562936992610832,5.382424231404552,5.508783164248952,0.3,1.0,0.0,-0.054153828361879874
2810,28.1,5.384017561983473,5.441081553213521,5.564430759426235,5.39314634480379,5.513045435039504,0.3,1.0,0.0,-0.05138532438673149
2811,28.11,5.385187009297519,5.442150100914122,5.5659332676387825,5.407859483812613,5.518511132490932,0.3,1.0,0.0,-0.04742213514785032
2812,28.12,5.386356456611571,5.443218648614717,5.56747369045871,5.37308946654989,5.509158423286066,0.3,1.0,0.0,-0.05831526717264435
