time_s,reference_grade_deg,modern_tcn_delta_deg,modern_tcn_22d_deg,gru_22d_deg,tcn_22d_deg
45.16,-4.70014398148,-4.95404866817,-5.29993539205,-4.19839232919,-4.34058963808
45.17,-4.70014398148,-4.93434673345,-5.28968014704,-4.19902998362,-4.33478596884
45.18,-4.70014398148,-4.91253405814,-5.27836818273,-4.20024618357,-4.33577052939
45.19,-4.70014398148,-4.89009054177,-5.26703728039,-4.20171512724,-4.33544146917
45.2,-4.70014398148,-4.86705153017,-5.25529428225,-4.20343726652,-4.32743167012
45.21,-4.6592,-4.84436323825,-5.24383733213,-4.20431669967,-4.31660223784
45.22,-4.6592,-4.82244954294,-5.23260229952,-4.20545530359,-4.31812313206
45.23,-4.6592,-4.80028790537,-5.22088518124,-4.20693730523,-4.30835212923
45.24,-4.6592,-4.7782488883,-5.20895994645,-4.20871296098,-4.30579276502
45.25,-4.6592,-4.75713801003,-5.19667164242,-4.2106503122,-4.29762729404
45.26,-4.61695601852,-4.73682424104,-5.18415363003,-4.2115944492,-4.29655347914
45.27,-4.61695601852,-4.71636009556,-5.17186272088,-4.21269883737,-4.29257158996
45.28,-4.61695601852,-4.69531932382,-5.15926621533,-4.21393371752,-4.28680202522
45.29,-4.61695601852,-4.6737200034,-5.1457349906,-4.21539106552,-4.28763032833
45.3,-4.61695601852,-4.65222249272,-5.13228448124,-4.21692859093,-4.28075214143
45.31,-4.57344814815,-4.63177918327,-5.11873375502,-4.21735146905,-4.27823981776
45.32,-4.57344814815,-4.61128766722,-5.10392414142,-4.21786795252,-4.26835777926
45.33,-4.57344814815,-4.59070375388,-5.09001683066,-4.21844001441,-4.26757731688
45.34,-4.57344814815,-4.5702645919,-5.07546430731,-4.21913325671,-4.25851333623
45.35,-4.57344814815,-4.55067513548,-5.06226355395,-4.21994031908,-4.25067851612
45.36,-4.5287125,-4.53207717341,-5.04879378354,-4.21966859637,-4.24961466502
45.37,-4.5287125,-4.51322294835,-5.03504925627,-4.21946412225,-4.24523566728
45.38,-4.5287125,-4.49428724023,-5.02147037655,-4.22057301851,-4.24076648925
45.39,-4.5287125,-4.47482692508,-5.00819479421,-4.22164721328,-4.23656791035
45.4,-4.5287125,-4.45547254109,-4.99563114342,-4.22260197723,-4.23250991979
45.41,-4.48278518519,-4.43653867426,-4.9823853257,-4.22209378472,-4.22546996498
45.42,-4.48278518519,-4.41765145328,-4.9694774216,-4.22152938888,-4.22501458959
45.43,-4.48278518519,-4.39912769331,-4.95565200411,-4.2210288692,-4.21790220062
45.44,-4.48278518519,-4.38093893858,-4.94193912792,-4.22056456788,-4.21587486254
45.45,-4.48278518519,-4.36254091166,-4.92789808562,-4.22067353941,-4.21473088998
45.46,-4.43570231481,-4.34432168336,-4.91299660089,-4.21973953918,-4.20446199288
45.47,-4.43570231481,-4.32616493605,-4.89893623941,-4.21880089479,-4.19614344336
45.48,-4.43570231481,-4.30766534259,-4.88445988328,-4.21804890169,-4.18728671083
45.49,-4.43570231481,-4.28947430651,-4.86975305594,-4.21744737484,-4.18633278095
45.5,-4.43570231481,-4.27163476701,-4.85518802869,-4.21680711073,-4.18735140491
45.51,-4.3875,-4.2542120048,-4.83959811748,-4.21526381677,-4.1779539592
